"filename", "language", "Vue", "JSON", "JavaScript", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\igor2\Desktop\diplom\musicApp\client\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 32, 70
"c:\Users\igor2\Desktop\diplom\musicApp\client\assets\scss\main.scss", "SCSS", 0, 0, 0, 0, 9, 0, 4, 13
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\AgendaMainPage.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\AllMainPage.vue", "Vue", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\ChartsMainPage.vue", "Vue", 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\MoodsMainPage.vue", "Vue", 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\Navbar.vue", "Vue", 48, 0, 0, 0, 0, 3, 8, 59
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\Player.vue", "Vue", 176, 0, 0, 0, 0, 0, 18, 194
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\Tabs.vue", "Vue", 89, 0, 0, 0, 0, 3, 5, 97
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\TrackHolder.vue", "Vue", 48, 0, 0, 0, 0, 1, 4, 53
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\AlbumContainer.vue", "Vue", 48, 0, 0, 0, 0, 8, 4, 60
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\InputForm.vue", "Vue", 55, 0, 0, 0, 0, 0, 5, 60
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\LikeBtn.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\MyButton.vue", "Vue", 30, 0, 0, 0, 0, 1, 1, 32
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\MyInput.vue", "Vue", 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\NextBtn.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\PauseBtn.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\PlayBtn.vue", "Vue", 11, 0, 0, 0, 0, 23, 3, 37
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\PreviousBtn.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\TrackContainer.vue", "Vue", 76, 0, 0, 0, 0, 1, 6, 83
"c:\Users\igor2\Desktop\diplom\musicApp\client\components\UI\VolumeBtn.vue", "Vue", 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\igor2\Desktop\diplom\musicApp\client\layouts\UserPageLayout.vue", "Vue", 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\igor2\Desktop\diplom\musicApp\client\layouts\default.vue", "Vue", 43, 0, 0, 0, 0, 1, 4, 48
"c:\Users\igor2\Desktop\diplom\musicApp\client\nuxt.config.js", "JavaScript", 0, 0, 29, 0, 0, 7, 8, 44
"c:\Users\igor2\Desktop\diplom\musicApp\client\package-lock.json", "JSON", 0, 21000, 0, 0, 0, 0, 1, 21001
"c:\Users\igor2\Desktop\diplom\musicApp\client\package.json", "JSON", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\UserPage.vue", "Vue", 49, 0, 0, 0, 0, 0, 4, 53
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\index.vue", "Vue", 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\pages\AlbumPage.vue", "Vue", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\pages\MainPage.vue", "Vue", 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\pages\ProfilePage.vue", "Vue", 143, 0, 0, 0, 0, 8, 8, 159
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\pages\SearchPage.vue", "Vue", 86, 0, 0, 0, 0, 1, 5, 92
"c:\Users\igor2\Desktop\diplom\musicApp\client\pages\pages\TrackPage.vue", "Vue", 130, 0, 0, 0, 0, 0, 6, 136
"c:\Users\igor2\Desktop\diplom\musicApp\client\store\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 5, 11
"c:\Users\igor2\Desktop\diplom\musicApp\client\store\store.js", "JavaScript", 0, 0, 177, 0, 0, 19, 9, 205
"Total", "-", 1409, 21028, 206, 44, 9, 76, 200, 22972
